# CGHS rates for treatment at healthcare organisations, Tier I (X) cities, semi private ward.
# Source: Office Memorandum F.No.5-16/CGHS(HQ)/HEC/2024(PartI) dated 03.10.2025, Annexure I (A),
#         effective 13.10.2025, as published by the Directorate General of Health Services, Delhi:
#         https://dgehs.delhi.gov.in/sites/default/files/inline-files/cghs_rate.pdf
# Source file SHA-256: 964b42f58eb0852d93293a658a183cceaafae33ba30a892979262c21695b9746
# Extracted 2026-09-25: 1998 rows, serial numbers 1 to 1998 without gaps, every rate cross checked
# against the source text. Delhi is a Tier I (X) city. Rates in rupees.
sr,code,name,speciality,non_nabh,nabh,super_speciality
1,CN001,Consultation OPD,Consultation,350,350,350
2,CN002,Consultation for Inpatients,Consultation,350,350,350
3,CN003,Consultation OPD - Super speciality/Psychiatry,Consultation,700,700,700
4,LB001,"Urine Routine- pH, Specific Gravity, Sugar, Protein and Microscopy",Laboratory Investigation,85,100,100
5,LB002,Urine Microalbumin,Laboratory Investigation,207,243,243
6,LB003,Stool Routine and Microscopy,Laboratory Investigation,68,80,80
7,LB004,Stool for Occult Blood,Laboratory Investigation,85,100,100
8,LB005,Post Coital Smear Examination,Laboratory Investigation,340,400,400
9,LB006,Semen Analysis (Automated/Manual),Laboratory Investigation,213,250,250
10,LB007,Haemoglobin (Hb),Laboratory Investigation,43,50,50
11,LB008,Total Leucocytic Count (TLC),Laboratory Investigation,43,50,50
12,LB009,Differential Leucocytic Count (DLC),Laboratory Investigation,85,100,100
13,LB010,Erythrocyte Sedimentation Rate (ESR),Laboratory Investigation,85,100,100
14,LB011,"Total Red Cell count with MCV,MCH,MCHC,DRW",Laboratory Investigation,43,50,50
15,LB012,"Complete Haemogram/CBC, Hb, RBC Count and Indices, TLC, DLC, Platelet, ESR, Peripheral Smear Examination)",Laboratory Investigation,255,300,300
16,LB013,Platelet Count,Laboratory Investigation,85,100,100
17,LB014,Reticulocyte Count,Laboratory Investigation,85,100,100
18,LB015,Absolute Eosinophil Count (AEC),Laboratory Investigation,85,100,100
19,LB016,Packed Cell Volume (PCV),Laboratory Investigation,43,50,50
20,LB017,Peripheral Smear Examination,Laboratory Investigation,85,100,100
21,LB018,Smear for Malaria/Filaria Parasite,Laboratory Investigation,85,100,100
22,LB019,Bleeding Time,Laboratory Investigation,43,50,50
23,LB020,Clotting Time,Laboratory Investigation,43,50,50
24,LB021,Osmotic Fragility Test,Laboratory Investigation,255,300,300
